"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
115,1,1,1,1,1,0,0,20240415,20241207
116,1,1,1,1,1,0,0,20240415,20241207
117,1,1,1,1,1,1,1,20240415,20241207
118,0,0,0,0,0,0,0,20240415,20241207
119,0,0,0,0,0,1,1,20240415,20241207
120,0,0,0,0,0,0,0,20240415,20241207
121,1,1,1,1,1,0,0,20240415,20241207
122,0,0,0,0,0,1,1,20240415,20241207
123,0,0,0,0,0,0,0,20240415,20241207
124,1,1,1,1,1,1,1,20240415,20241207
125,1,1,1,1,1,0,0,20240415,20241207
126,0,0,0,0,0,0,0,20240415,20241207
127,1,1,1,1,1,0,0,20240415,20241207
128,0,0,0,1,0,0,0,20240415,20241207
129,1,1,1,0,1,0,0,20240415,20241207
130,0,0,0,0,1,0,0,20240415,20241207
131,0,1,0,1,0,0,0,20240415,20241207
132,0,0,0,0,0,0,0,20240415,20241207
133,1,0,1,0,1,0,0,20240415,20241207
134,0,0,0,0,0,0,1,20240415,20241207
135,1,1,1,1,1,0,0,20240415,20241207
136,1,1,1,1,1,0,0,20240415,20241207
137,0,0,0,0,0,0,0,20240415,20241207
138,0,1,0,0,1,0,0,20240415,20241207
139,0,0,0,0,0,0,0,20240415,20241207
140,0,0,1,1,0,0,0,20240415,20241207
141,1,1,0,1,1,0,0,20240415,20241207
142,0,0,1,0,0,0,0,20240415,20241207
143,1,1,0,1,1,0,0,20240415,20241207
144,0,0,1,0,0,0,0,20240415,20241207
145,1,1,0,1,1,0,0,20240415,20241207
146,0,0,1,0,0,0,0,20240415,20241207
147,0,0,0,0,0,0,0,20240415,20241207
148,0,0,0,0,0,0,0,20240415,20241207
149,1,1,1,1,1,0,0,20240415,20241207
150,0,0,0,0,0,0,0,20240415,20241207
151,0,0,0,0,0,0,0,20240415,20241207
152,1,1,1,1,1,0,0,20240415,20241207
153,0,0,0,0,0,0,1,20240415,20241207
154,0,0,1,0,0,0,0,20240415,20241207
155,1,1,0,1,1,0,0,20240415,20241207
156,1,1,1,1,1,1,0,20240415,20241207
157,0,0,0,0,0,1,0,20240415,20241207
158,1,1,1,1,1,0,1,20240415,20241207
